volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Mayon,Confirmed Eruption,1896 Aug 31,2,,Historical Observations,1896 Sep 27,13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Gamalama,Uncertain Eruption,1896 Aug 3,1,, ,[ 1896 Aug 4 (?) ],0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Raung,Confirmed Eruption,1896 Aug,2,,Historical Observations,Unknown,-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Kilauea,Confirmed Eruption,1896 Jul 11,0,Halemaumau,Historical Observations,1896 Sep 25 ± 5 days,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Tangkuban Parahu,Confirmed Eruption,1896 May 22,2,Kawah Baru,Historical Observations,1896 May 23,-6.77,107.6,2084 m,Indonesia,Stratovolcano,"100,608","518,822","5,729,309","32,855,731"
Semeru,Confirmed Eruption,1896 May,2,,Historical Observations,1896 Jun,-8.108,112.922,3657 m,Indonesia,Stratovolcano,"2,686","8,375","1,022,197","20,098,931"
Mauna Loa,Confirmed Eruption,1896 Apr 21,0,Mokuaweoweo,Historical Observations,1896 May 6,19.475,-155.608,4170 m,United States,Shield,45,45,"1,906","175,315"
Zaozan [Zaosan],Confirmed Eruption,1896 Mar 8,1,Okama,Historical Observations,1896 Mar 8,38.144,140.44,1841 m,Japan,Complex,632,"4,681","550,409","4,956,958"
Fuego,Confirmed Eruption,1896 Jan 10,2,,Historical Observations,Unknown,14.473,-90.88,3763 m,Guatemala,Stratovolcano(es),"1,373","54,332","1,016,339","7,677,809"
Kilauea,Confirmed Eruption,1896 Jan 3,0,Halemaumau,Historical Observations,1896 Jan 28,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Socorro,Uncertain Eruption,1896,2,, ,[ Unknown ],18.78,-110.95,1050 m,Mexico,Shield,0,0,0,0
Akutan,Confirmed Eruption,1896,--,,Historical Observations,Unknown,54.134,-165.986,1303 m,United States,Stratovolcano,0,24,233,"4,361"
Myojinsho,Confirmed Eruption,1896,2,14 km north of Bayonnaise Rocks,Historical Observations,Unknown,31.888,139.918,11 m,Japan,Submarine,0,0,0,242
Tengger Caldera,Confirmed Eruption,1896,2,Bromo,Historical Observations,Unknown,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
Okataina,Confirmed Eruption,1896,1,Waimangu (Echo Crater),Historical Observations,Unknown,-38.12,176.5,1111 m,New Zealand,Lava dome(s),18,579,"79,591","362,413"
Nyamulagira,Confirmed Eruption,1896,1,,Historical Observations,Unknown,-1.408,29.2,3058 m,DR Congo,Shield,"3,751","27,027","711,356","8,333,476"
Huequi,Confirmed Eruption,1896,2,,Historical Observations,Unknown,-42.377,-72.578,1318 m,Chile,Lava dome(s),0,7,"1,076","107,960"
Gamalama,Confirmed Eruption,1895 Dec 19,1,,Historical Observations,1895 Dec 19,0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Hunter Island,Confirmed Eruption,1895 Nov 24,--,East side,Historical Observations,Unknown,-22.4,172.05,297 m,France,Stratovolcano,0,0,0,1
Koryaksky,Discredited Eruption,1895 Oct 15,--,, ,[ 1896 ],53.321,158.712,3430 m,Russia,Stratovolcano,0,13,"142,050","257,322"
Zaozan [Zaosan],Confirmed Eruption,1895 Aug 22,2,Okama,Historical Observations,1895 Sep 28,38.144,140.44,1841 m,Japan,Complex,632,"4,681","550,409","4,956,958"
