volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Fernandina,Confirmed Eruption,1984 Mar 30,1,NW corner of caldera,Historical Observations,Unknown,-0.37,-91.55,1476 m,Ecuador,Shield,129,129,208,"1,972"
Mauna Loa,Confirmed Eruption,1984 Mar 25,0,"Mokuaweoweo, SW and NE rift zones",Historical Observations,1984 Apr 15,19.475,-155.608,4170 m,United States,Shield,45,45,"1,906","175,315"
Sheveluch,Confirmed Eruption,1984 Mar 17,2,,Historical Observations,1984 Sep 6,56.653,161.36,3283 m,Russia,Stratovolcano,0,0,"1,718","11,613"
Klyuchevskoy,Confirmed Eruption,1984 Mar 10,3,,Historical Observations,1985 Jan 28,56.056,160.642,4754 m,Russia,Stratovolcano,0,0,292,"12,406"
Kaitoku Seamount,Confirmed Eruption,1984 Mar 8,0,Higashi-Kaitokuba,Historical Observations,1984 Mar 26 (?),26.127,141.102,-95 m,Japan,Submarine,0,0,0,160
Home Reef,Confirmed Eruption,1984 Mar 1,3,,Historical Observations,1984 Mar 5,-18.992,-174.775,-10 m,Tonga,Submarine,0,0,142,"21,334"
Nyamulagira,Confirmed Eruption,1984 Feb 23,2,NW flank (Kivandimwe),Historical Observations,1984 Mar 14,-1.408,29.2,3058 m,DR Congo,Shield,"3,751","27,027","711,356","8,333,476"
Bezymianny,Confirmed Eruption,1984 Feb 5,3,,Historical Observations,1984 Dec 16 ± 15 days,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Galunggung,Confirmed Eruption,1984 Jan 9,1,,Historical Observations,1984 Jan 31 (?),-7.25,108.058,2168 m,Indonesia,Stratovolcano,"4,781","66,495","2,382,939","23,897,342"
Whakaari/White Island,Confirmed Eruption,1983 Dec 26,2,North margin of 1978 crater complex,Historical Observations,1984 Feb 12 ± 5 days,-37.52,177.18,294 m,New Zealand,Stratovolcano(es),5,5,5,"190,290"
Tengger Caldera,Confirmed Eruption,1983 Dec 21,1,Bromo,Historical Observations,1983 Dec 21,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
Teahitia,Confirmed Eruption,1983 Dec 18,0,,Hydrophonic,1984 Jul 14,-17.564,-148.821,-1743 m,France,Submarine,0,0,0,"203,248"
"Fournaise, Piton de la",Confirmed Eruption,1983 Dec 4,2,SSW flank of Dolomieu (2110-2300 m),Historical Observations,1984 Feb 18,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Pavlof,Confirmed Eruption,1983 Nov 11,3,Upper NNE flank,Historical Observations,1983 Dec 18,55.417,-161.894,2493 m,United States,Stratovolcano,0,0,0,"3,002"
Ulawun,Confirmed Eruption,1983 Nov 6,1,,Historical Observations,1984 Mar 13,-5.05,151.33,2334 m,Papua New Guinea,Stratovolcano,30,"1,801","10,577","61,018"
