volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Pacaya,Confirmed Eruption,0880,3,"Pc-Pt 5 tephra, Pacaya debris avalanche",Tephrochronology,Unknown,14.382,-90.601,2569 m,Guatemala,Complex,"4,250","53,579","2,454,482","7,033,094"
Bardarbunga,Confirmed Eruption,0880,--,,Tephrochronology,Unknown,64.633,-17.516,2000 m,Iceland,Stratovolcano,0,0,0,"1,348"
Brennisteinsfjoll,Confirmed Eruption,0875,2,Tvibollar,Radiocarbon (uncorrected),Unknown,63.933,-21.783,610 m,Iceland,Crater rows,"33,526","33,526","163,469","203,012"
Ata,Confirmed Eruption,0874 Mar 29,4,Kaimon,Historical Observations,0874 Jul (?),31.22,130.57,924 m,Japan,Caldera(s),"93,134","93,134","171,590","1,891,380"
Chokaisan,Confirmed Eruption,0871 May 5,2,,Historical Observations,Unknown,39.099,140.049,2236 m,Japan,Stratovolcano(es),131,707,"185,681","2,301,576"
Fujisan,Confirmed Eruption,0870 Aug,2,,Historical Observations,Unknown,35.361,138.728,3776 m,Japan,Stratovolcano,570,"1,759","906,969","25,022,187"
Alamagan,Confirmed Eruption,0870,4,,Radiocarbon (uncorrected),Unknown,17.6,145.83,744 m,United States,Stratovolcano,0,0,0,0
Merapi,Confirmed Eruption,0870,--,,Radiocarbon (corrected),Unknown,-7.54,110.446,2910 m,Indonesia,Stratovolcano,"49,205","185,849","4,348,473","24,728,414"
Bardarbunga,Confirmed Eruption,0870,4,Vatnaöldur,Tephrochronology,Unknown,64.633,-17.516,2000 m,Iceland,Stratovolcano,0,0,0,"1,348"
Torfajokull,Confirmed Eruption,0870,3,W side of caldera (Hrafntinnuhraun),Tephrochronology,Unknown,63.892,-19.122,1280 m,Iceland,Stratovolcano,0,0,7,"16,304"
Asosan,Confirmed Eruption,0867 Jun 20,2,Naka-dake,Historical Observations,Unknown,32.884,131.104,1592 m,Japan,Caldera,"75,559","75,559","234,591","6,507,519"
Yufu-Tsurumi,Confirmed Eruption,0867 Mar 4,3,,Historical Observations,0867 May 4 ± 15 days,33.282,131.39,1584 m,Japan,Lava dome(s),"28,543","139,722","709,942","7,767,905"
Ata,Uncertain Eruption,0866 May,2,Kaimon, ,[ Unknown ],31.22,130.57,924 m,Japan,Caldera(s),"93,134","93,134","171,590","1,891,380"
Asosan,Confirmed Eruption,0864 Nov 9,3,Naka-dake,Historical Observations,Unknown,32.884,131.104,1592 m,Japan,Caldera,"75,559","75,559","234,591","6,507,519"
Fujisan,Confirmed Eruption,0864 Jun 12,3,"NW flank (Nagao-yama, Kudari-yama)",Historical Observations,0866 Feb 1 ± 30 days,35.361,138.728,3776 m,Japan,Stratovolcano,570,"1,759","906,969","25,022,187"
Chokaisan,Uncertain Eruption,0861 May,3,, ,[ Unknown ],39.099,140.049,2236 m,Japan,Stratovolcano(es),131,707,"185,681","2,301,576"
Ata,Uncertain Eruption,0860 Apr,2,Kaimon, ,[ Unknown ],31.22,130.57,924 m,Japan,Caldera(s),"93,134","93,134","171,590","1,891,380"
Unzendake,Uncertain Eruption,0860,--,, ,[ Unknown ],32.761,130.299,1483 m,Japan,Complex,"6,979","76,424","444,737","7,313,362"
Vesuvius,Confirmed Eruption,0860,0,South flank,Magnetism,Unknown,40.821,14.426,1281 m,Italy,Stratovolcano,"19,162","675,705","3,907,941","6,009,961"
"Hudson, Cerro",Confirmed Eruption,0860,--,Tephra layer T7,Radiocarbon (uncorrected),Unknown,-45.9,-72.97,1905 m,Chile,Stratovolcano,0,12,28,"81,642"
Puyehue-Cordon Caulle,Confirmed Eruption,0860,5,"Puyehue, MH tephra",Radiocarbon (corrected),Unknown,-40.59,-72.117,2236 m,Chile,Stratovolcano,129,783,"7,163","515,357"
Etna,Uncertain Eruption,0859,--,, ,[ Unknown ],37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Hakusan,Uncertain Eruption,0859,--,, ,[ Unknown ],36.155,136.771,2702 m,Japan,Stratovolcano,474,807,"63,965","5,959,200"
Kirishimayama,Confirmed Eruption,0858,2,,Historical Observations,Unknown,31.934,130.862,1700 m,Japan,Shield,647,"8,415","407,050","3,972,044"
Chokaisan,Uncertain Eruption,0857 May,--,, ,[ Unknown ],39.099,140.049,2236 m,Japan,Stratovolcano(es),131,707,"185,681","2,301,576"
Kirishimayama,Confirmed Eruption,0857,2,,Historical Observations,Unknown,31.934,130.862,1700 m,Japan,Shield,647,"8,415","407,050","3,972,044"
Chokaisan,Uncertain Eruption,0856,--,, ,[ Unknown ],39.099,140.049,2236 m,Japan,Stratovolcano(es),131,707,"185,681","2,301,576"
Niijima,Confirmed Eruption,0856,2,Achi-yama,Historical Observations,0857 (?),34.397,139.27,432 m,Japan,Lava dome(s),"3,060","3,349","6,139","1,347,661"
Izu-Oshima,Confirmed Eruption,0854 Sep 14,4,Tephra layer N2.0?,Historical Observations,0856 (?),34.724,139.394,746 m,Japan,Stratovolcano,"2,381","8,037","8,375","11,837,468"
Hakusan,Uncertain Eruption,0853,--,Hm-14 tephra?, ,[ Unknown ],36.155,136.771,2702 m,Japan,Stratovolcano,474,807,"63,965","5,959,200"
Miyakejima,Confirmed Eruption,0850,4,Oyama and East flank (Mi-ike maar),Historical Observations,Unknown,34.094,139.526,775 m,Japan,Stratovolcano,"1,848","3,189","3,474","95,663"
Hachijojima,Confirmed Eruption,0850,--,Nishi-yama summit and SE flank,Radiocarbon (corrected),Unknown,33.137,139.766,854 m,Japan,Stratovolcano(es),"11,275","13,560","13,564","14,082"
Shiretoko-Iozan,Confirmed Eruption,0850,--,St-1 tephra,Tephrochronology,Unknown,44.133,145.161,1562 m,Japan,Stratovolcano,6,"1,516","7,890","209,060"
Krasheninnikov,Confirmed Eruption,0850,--,Northern cone,Radiocarbon (corrected),Unknown,54.596,160.27,1816 m,Russia,Caldera,308,308,814,"4,674"
Kizimen,Confirmed Eruption,0850,3,,Tephrochronology,Unknown,55.131,160.32,2334 m,Russia,Stratovolcano,0,26,197,"5,564"
Shasta,Confirmed Eruption,0850,--,,Radiocarbon (uncorrected),Unknown,41.409,-122.193,4317 m,United States,Stratovolcano,0,35,"19,785","265,016"
Kilauea,Confirmed Eruption,0850,0,Kipuka Hornet flows,Radiocarbon (corrected),Unknown,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Northern EPR at 9.8°N,Confirmed Eruption,0850,0,East Pacific Rise (9.9 deg N),Uranium-series,Unknown,9.83,-104.3,-2500 m,Undersea Features,Submarine,0,0,0,0
Bezymianny,Confirmed Eruption,0850,--,,Tephrochronology,Unknown,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Kanaga,Confirmed Eruption,0850,--,T9 tephra,Radiocarbon (corrected),Unknown,51.923,-177.168,1307 m,United States,Stratovolcano,0,0,0,0
Kinenin,Confirmed Eruption,0850,4,,Radiocarbon (uncorrected),Unknown,57.35,160.97,583 m,Russia,Maar,0,0,94,"3,650"
Galunggung,Uncertain Eruption,0850,--,, ,[ Unknown ],-7.25,108.058,2168 m,Indonesia,Stratovolcano,"4,781","66,495","2,382,939","23,897,342"
Krakatau,Confirmed Eruption,0850,--,,Historical Observations,Unknown,-6.102,105.423,155 m,Indonesia,Caldera,"7,177","7,177","8,027","6,326,159"
Bayuda Volcanic Field,Confirmed Eruption,0850,--,,Radiocarbon (uncorrected),Unknown,18.33,32.75,670 m,Sudan,Pyroclastic cone(s),"1,124","1,124","2,752","259,325"
Raoul Island,Confirmed Eruption,0850,4,Expedition Crater,Tephrochronology,Unknown,-29.27,-177.92,516 m,New Zealand,Stratovolcano,0,0,0,0
