volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Mauna Loa,Confirmed Eruption,1540,0,NE rift zone,Radiocarbon (uncorrected),Unknown,19.475,-155.608,4170 m,United States,Shield,45,45,"1,906","175,315"
Augustine,Confirmed Eruption,1540,4,Tephra layer B,Radiocarbon (corrected),Unknown,59.363,-153.43,1252 m,United States,Lava dome(s),0,0,0,759
Aniakchak,Confirmed Eruption,1540,4,"NW & S caldera floor (Half Cone, Vent Mtn)",Radiocarbon (corrected),Unknown,56.88,-158.17,1341 m,United States,Caldera,0,0,36,479
Popocatepetl,Confirmed Eruption,1539,2,,Historical Observations,1540,19.023,-98.622,5393 m,Mexico,Stratovolcano(es),325,"2,584","634,054","26,509,510"
Guagua Pichincha,Uncertain Eruption,1539,2,, ,[ Unknown ],-0.171,-78.598,4784 m,Ecuador,Stratovolcano,449,"32,488","2,064,475","3,581,801"
Villarrica,Confirmed Eruption,1539,2,,Varve Count,Unknown,-39.42,-71.93,2847 m,Chile,Stratovolcano,477,"1,067","35,118","667,788"
Campi Flegrei,Confirmed Eruption,1538 Sep 29,3,Monte Nuovo,Historical Observations,1538 Oct 6,40.827,14.139,458 m,Italy,Caldera,"2,234,109","2,234,109","3,006,865","6,019,697"
Gamalama,Confirmed Eruption,1538,3,,Historical Observations,Unknown,0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Guagua Pichincha,Uncertain Eruption,1538,3,, ,[ Unknown ],-0.171,-78.598,4784 m,Ecuador,Stratovolcano,449,"32,488","2,064,475","3,581,801"
Villarrica,Confirmed Eruption,1538,2,,Varve Count,Unknown,-39.42,-71.93,2847 m,Chile,Stratovolcano,477,"1,067","35,118","667,788"
Etna,Confirmed Eruption,1537 Mar,2,"Summit, south flank (1800-1500 m)",Historical Observations,1537 Jul,37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Villarrica,Confirmed Eruption,1537,2,,Varve Count,Unknown,-39.42,-71.93,2847 m,Chile,Stratovolcano,477,"1,067","35,118","667,788"
Etna,Confirmed Eruption,1536 Mar 22,3,"Summit, S, N & W flanks (1400-2500 m)",Historical Observations,1536 Dec (?),37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Miyakejima,Confirmed Eruption,1535 Mar,2,SE flank,Historical Observations,Unknown,34.094,139.526,775 m,Japan,Stratovolcano,"1,848","3,189","3,474","95,663"
