volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Bagana,Confirmed Eruption,1865,2,,Historical Observations,1883,-6.137,155.196,1855 m,Papua New Guinea,Lava cone,198,404,"7,861","115,257"
Kelimutu,Confirmed Eruption,1865,2,,Historical Observations,Unknown,-8.77,121.82,1639 m,Indonesia,Complex,746,"9,896","118,605","606,946"
Makaturing,Confirmed Eruption,1865,2,,Historical Observations,Unknown,7.644,124.317,1818 m,Philippines,Stratovolcano,"1,501","9,752","418,007","6,142,586"
Akutan,Confirmed Eruption,1865,--,,Historical Observations,Unknown,54.134,-165.986,1303 m,United States,Stratovolcano,0,24,233,"4,361"
Shishaldin,Uncertain Eruption,1865,--,, ,[ Unknown ],54.756,-163.97,2857 m,United States,Stratovolcano,0,0,10,197
Makushin,Confirmed Eruption,1865,--,,Historical Observations,Unknown,53.891,-166.923,1800 m,United States,Stratovolcano,0,0,"3,437","3,850"
Baker,Uncertain Eruption,1865,--,Sherman Crater, ,[ Unknown ],48.777,-121.813,3285 m,United States,Stratovolcano(es),0,46,"8,568","1,990,504"
Farallon de Pajaros,Discredited Eruption,1865,--,, ,[ Unknown ],20.546,144.893,337 m,United States,Stratovolcano,0,0,0,0
Ubinas,Confirmed Eruption,1865,2,,Historical Observations,Unknown,-16.355,-70.903,5672 m,Peru,Stratovolcano,180,"1,195","14,607","1,136,785"
Olca-Paruma,Uncertain Eruption,1865,--,, ,[ 1867 ],-20.939,-68.413,5705 m,Chile-Bolivia,Stratovolcano(es),20,225,"2,318","16,180"
Nyamulagira,Confirmed Eruption,1865,--,,Historical Observations,Unknown,-1.408,29.2,3058 m,DR Congo,Shield,"3,751","27,027","711,356","8,333,476"
Gamalama,Confirmed Eruption,1864 Dec 27,2,,Historical Observations,1865 Jan 2,0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Tongariro,Confirmed Eruption,1864 Dec,2,Ngauruhoe,Historical Observations,1865 Jan,-39.157,175.632,1978 m,New Zealand,Stratovolcano(es),27,286,"7,591","81,567"
"Chillan, Nevados de",Confirmed Eruption,1864 Nov 30,3,NW flank of Cerro Blanco (Santa Gertrudis),Historical Observations,1865 Feb 3 ± 1 days,-36.868,-71.378,3180 m,Chile,Stratovolcano,68,371,"3,733","512,325"
Mocho-Choshuenco,Confirmed Eruption,1864 Nov 1,2,SW flank of El Mocho (Chaiquemahuida),Historical Observations,1864 Nov 3 ± 1 days,-39.927,-72.027,2422 m,Chile,Stratovolcano(es),81,789,"16,633","401,631"
Villarrica,Confirmed Eruption,1864 Oct,2,,Historical Observations,Unknown,-39.42,-71.93,2847 m,Chile,Stratovolcano,477,"1,067","35,118","667,788"
Callaqui,Uncertain Eruption,1864 Oct,--,, ,[ Unknown ],-37.92,-71.45,3164 m,Chile,Stratovolcano,56,294,"4,354","400,426"
Makian,Confirmed Eruption,1864 Oct,1,,Historical Observations,1864 Oct,0.32,127.4,1357 m,Indonesia,Stratovolcano,"4,986","8,466","21,360","441,768"
Irazu,Confirmed Eruption,1864 Sep 16,2,,Historical Observations,1864 Sep 17,9.979,-83.852,3432 m,Costa Rica,Stratovolcano,"1,978","25,442","1,667,528","3,432,860"
Turrialba,Confirmed Eruption,1864 Aug 17,2,Central and SW summit craters,Historical Observations,1865 Mar,10.025,-83.767,3340 m,Costa Rica,Stratovolcano,"1,891","6,867","672,428","3,390,544"
Etna,Confirmed Eruption,1864 Aug 5,2,Central Crater,Historical Observations,1864 Sep 19,37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Raung,Confirmed Eruption,1864 Jul 2,2,,Historical Observations,1864 Dec,-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Semeru,Discredited Eruption,1864 Jul 2,--,, ,[ Unknown ],-8.108,112.922,3657 m,Indonesia,Stratovolcano,"2,686","8,375","1,022,197","20,098,931"
Lamongan,Confirmed Eruption,1864 Jun 9,2,,Historical Observations,1864 Jul,-7.981,113.341,1641 m,Indonesia,Stratovolcano,"6,588","66,387","2,193,829","15,322,387"
Lopevi,Confirmed Eruption,1864 Jun 9,3,,Historical Observations,Unknown,-16.507,168.346,1413 m,Vanuatu,Stratovolcano,690,793,"7,942","50,310"
Karangetang,Confirmed Eruption,1864 Jun 6,2,,Historical Observations,Unknown,2.781,125.407,1797 m,Indonesia,Stratovolcano,892,"4,478","11,066","65,667"
Gamalama,Uncertain Eruption,1864 Jun 4,1,, ,[ 1864 Jun 25 ± 5 days ],0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Izalco,Confirmed Eruption,1864 May 15,2,Summit and NE flank,Historical Observations,1865 Jun 15 ± 5 days,13.813,-89.633,1950 m,El Salvador,Stratovolcano,937,"55,665","1,272,308","6,415,818"
Vesuvius,Confirmed Eruption,1864 Feb 10,2,Summit and upper SE flank,Historical Observations,1868 Nov 26,40.821,14.426,1281 m,Italy,Stratovolcano,"19,162","675,705","3,907,941","6,009,961"
Gamalama,Confirmed Eruption,1864 Jan 20,2,,Historical Observations,1864 Feb 17,0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Farallon de Pajaros,Confirmed Eruption,1864 Jan 7,2,SW side,Historical Observations,Unknown,20.546,144.893,337 m,United States,Stratovolcano,0,0,0,0
Kelud,Confirmed Eruption,1864 Jan 4,2,,Historical Observations,1864 Jan 4 (?),-7.935,112.314,1730 m,Indonesia,Stratovolcano,279,"50,901","2,087,876","24,999,627"
Alamagan,Uncertain Eruption,1864 Jan,--,, ,[ Unknown ],17.6,145.83,744 m,United States,Stratovolcano,0,0,0,0
Pagan,Confirmed Eruption,1864,1,South Pagan,Historical Observations,Unknown,18.13,145.8,570 m,United States,Stratovolcano(es),0,0,0,0
Lewotolok,Confirmed Eruption,1864,2,,Historical Observations,Unknown,-8.274,123.508,1431 m,Indonesia,Stratovolcano,"4,390","10,032","159,023","695,083"
Llaima,Confirmed Eruption,1864,3,,Historical Observations,Unknown,-38.692,-71.729,3125 m,Chile,Stratovolcano,86,811,"18,568","630,458"
"Fournaise, Piton de la",Confirmed Eruption,1863 Dec 20,0,,Historical Observations,1864 Jan 29,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Antuco,Confirmed Eruption,1863 Dec,2,,Historical Observations,Unknown,-37.406,-71.349,2979 m,Chile,Stratovolcano,117,474,"3,872","381,623"
Makian,Confirmed Eruption,1863 Aug 25,1,,Historical Observations,1863 Aug 31,0.32,127.4,1357 m,Indonesia,Stratovolcano,"4,986","8,466","21,360","441,768"
Campi Flegrei del Mar di Sicilia,Confirmed Eruption,1863 Aug 12,2,Giulia Ferdinandeo,Historical Observations,Unknown,37.1,12.7,-8 m,Italy,Submarine,"230,578","230,578","230,578","633,350"
Isluga,Confirmed Eruption,1863 Aug,1,,Historical Observations,Unknown,-19.15,-68.83,5550 m,Chile,Stratovolcano,1,703,"5,961","32,205"
Baker,Confirmed Eruption,1863 Jul,2,Sherman Crater,Historical Observations,Unknown,48.777,-121.813,3285 m,United States,Stratovolcano(es),0,46,"8,568","1,990,504"
Mayon,Uncertain Eruption,1863 May 30,--,, ,[ Unknown ],13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Marapi,Confirmed Eruption,1863 May 23,2,,Historical Observations,Unknown,-0.38,100.474,2885 m,Indonesia,Complex,706,"57,453","818,039","4,059,773"
Gamalama,Uncertain Eruption,1863 May 1,2,, ,[ 1863 Jun (?) ],0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Etna,Confirmed Eruption,1863 May 1,3,Central Crater,Historical Observations,1863 Jul 25 (?),37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Iwakisan,Confirmed Eruption,1863 Mar 23,1,,Historical Observations,Unknown,40.656,140.303,1625 m,Japan,Stratovolcano,918,"13,229","465,065","1,617,801"
Tajumulco,Uncertain Eruption,1863,2,, ,[ Unknown ],15.043,-91.903,4203 m,Guatemala,Stratovolcano,"2,398","71,560","796,805","5,255,535"
Longonot,Confirmed Eruption,1863,0,Northern flank,Anthropology,Unknown,-0.914,36.446,2776 m,Kenya,Stratovolcano,809,"17,893","410,677","8,750,154"
Dubbi,Uncertain Eruption,1863,2,, ,[ Unknown ],13.579,41.809,1625 m,Eritrea,Stratovolcano,0,0,18,"14,867"
"Tair, Jebel at",Confirmed Eruption,1863,2,,Historical Observations,Unknown,15.55,41.83,244 m,Yemen,Stratovolcano,0,0,0,"14,493"
Lopevi,Confirmed Eruption,1863,2,,Historical Observations,Unknown,-16.507,168.346,1413 m,Vanuatu,Stratovolcano,690,793,"7,942","50,310"
Ambrym,Confirmed Eruption,1863,2,,Historical Observations,1864,-16.25,168.12,1334 m,Vanuatu,Pyroclastic shield,9,186,"10,826","63,999"
Tongariro,Confirmed Eruption,1863,2,Ngauruhoe,Historical Observations,1864 Apr,-39.157,175.632,1978 m,New Zealand,Stratovolcano(es),27,286,"7,591","81,567"
Izalco,Confirmed Eruption,1863,0,,Historical Observations,Unknown,13.813,-89.633,1950 m,El Salvador,Stratovolcano,937,"55,665","1,272,308","6,415,818"
Cotopaxi,Confirmed Eruption,1863,2,,Historical Observations,Unknown,-0.677,-78.436,5911 m,Ecuador,Stratovolcano,251,"7,299","152,139","3,631,492"
Gamalama,Confirmed Eruption,1862 Jul 15,2,,Historical Observations,1862 Oct,0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Bardarbunga,Confirmed Eruption,1862 Jun 30,2,Trollagigar,Historical Observations,1864 Oct 15 ± 45 days,64.633,-17.516,2000 m,Iceland,Stratovolcano,0,0,0,"1,348"
Merapi,Confirmed Eruption,1862 May 26,2,,Historical Observations,1864,-7.54,110.446,2910 m,Indonesia,Stratovolcano,"49,205","185,849","4,348,473","24,728,414"
Tutupaca,Uncertain Eruption,1862 Apr,2,Volcano Uncertain: reported from Tutupaca, ,[ 1862 May ],-17.026,-70.372,5801 m,Peru,Stratovolcano(es),18,"1,125","21,124","213,931"
Antuco,Uncertain Eruption,1862 Jan,--,, ,[ 1862 Mar 3 ],-37.406,-71.349,2979 m,Chile,Stratovolcano,117,474,"3,872","381,623"
San Miguel,Confirmed Eruption,1862 Jan,2,,Historical Observations,Unknown,13.434,-88.269,2130 m,El Salvador,Stratovolcano,"1,232","63,007","796,482","3,633,885"
Tongariro,Confirmed Eruption,1862 Jan,2,Ngauruhoe,Historical Observations,Unknown,-39.157,175.632,1978 m,New Zealand,Stratovolcano(es),27,286,"7,591","81,567"
Karthala,Uncertain Eruption,1862,2,, ,[ Unknown ],-11.75,43.38,2361 m,Comoros,Shield,"225,379","225,379","278,330","399,067"
Camiguin,Confirmed Eruption,1862,2,Hibok-Hibok,Historical Observations,Unknown,9.203,124.673,1552 m,Philippines,Stratovolcano(es),"12,173","51,587","92,178","2,871,353"
Mayon,Confirmed Eruption,1862,2,,Historical Observations,Unknown,13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Akutan,Uncertain Eruption,1862,--,, ,[ Unknown ],54.134,-165.986,1303 m,United States,Stratovolcano,0,24,233,"4,361"
Llaima,Confirmed Eruption,1862,3,,Historical Observations,Unknown,-38.692,-71.729,3125 m,Chile,Stratovolcano,86,811,"18,568","630,458"
Ubinas,Confirmed Eruption,1862,2,,Historical Observations,Unknown,-16.355,-70.903,5672 m,Peru,Stratovolcano,180,"1,195","14,607","1,136,785"
Makian,Confirmed Eruption,1861 Dec 28,4,,Historical Observations,1862 Oct,0.32,127.4,1357 m,Indonesia,Stratovolcano,"4,986","8,466","21,360","441,768"
Fuego,Uncertain Eruption,1861 Nov 21,2,, ,[ Unknown ],14.473,-90.88,3763 m,Guatemala,Stratovolcano(es),"1,373","54,332","1,016,339","7,677,809"
"Chillan, Nevados de",Confirmed Eruption,1861 Jun,2,NW flank of Cerro Blanco (Santa Gertrudis),Historical Observations,1863,-36.868,-71.378,3180 m,Chile,Stratovolcano,68,371,"3,733","512,325"
Ruapehu,Confirmed Eruption,1861 May 16,2,,Historical Observations,Unknown,-39.28,175.57,2797 m,New Zealand,Stratovolcano,14,298,"6,901","119,709"
Dubbi,Confirmed Eruption,1861 May 8,3,,Historical Observations,1861 Oct (?),13.579,41.809,1625 m,Eritrea,Stratovolcano,0,0,18,"14,867"
Lewotobi,Confirmed Eruption,1861 May 4,2,Lewotobi Lakilaki,Historical Observations,1861 May 18,-8.542,122.775,1703 m,Indonesia,Stratovolcano(es),"18,686","59,084","284,976","906,184"
Grimsvotn,Uncertain Eruption,1861 May,2,, ,[ Unknown ],64.416,-17.316,1719 m,Iceland,Caldera,0,0,0,"1,736"
Marapi,Confirmed Eruption,1861 Apr,2,,Historical Observations,Unknown,-0.38,100.474,2885 m,Indonesia,Complex,706,"57,453","818,039","4,059,773"
"Fournaise, Piton de la",Confirmed Eruption,1861 Mar 19,2,Brulant,Historical Observations,1861 Mar 19,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Antuco,Confirmed Eruption,1861 Feb,0,,Historical Observations,1861 Aug (?),-37.406,-71.349,2979 m,Chile,Stratovolcano,117,474,"3,872","381,623"
Tupungatito,Confirmed Eruption,1861,2,,Historical Observations,Unknown,-33.425,-69.797,5660 m,Chile-Argentina,Stratovolcano,612,923,"6,161","6,169,105"
Turrialba,Uncertain Eruption,1861,--,, ,[ Unknown ],10.025,-83.767,3340 m,Costa Rica,Stratovolcano,"1,891","6,867","672,428","3,390,544"
Sete Cidades,Confirmed Eruption,1861,0,Volcano Uncertain: submarine vent off Sao Miguel,Unknown,Unknown,37.865,-25.785,842 m,Portugal,Stratovolcano,"3,515","10,365","102,848","127,154"
Suretamatai,Confirmed Eruption,1861,2,,Historical Observations,Unknown,-13.8,167.47,921 m,Vanuatu,Complex,68,"3,509","5,555","9,242"
Merapi,Confirmed Eruption,1861,2,,Historical Observations,Unknown,-7.54,110.446,2910 m,Indonesia,Stratovolcano,"49,205","185,849","4,348,473","24,728,414"
Lamongan,Confirmed Eruption,1861,2,,Historical Observations,Unknown,-7.981,113.341,1641 m,Indonesia,Stratovolcano,"6,588","66,387","2,193,829","15,322,387"
Mayon,Confirmed Eruption,1861,1,,Historical Observations,Unknown,13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Karthala,Confirmed Eruption,1860 Dec 29,0,"SE flank (Badjini Massif, 1200 m)",Historical Observations,Unknown,-11.75,43.38,2361 m,Comoros,Shield,"225,379","225,379","278,330","399,067"
Baker,Uncertain Eruption,1860 Dec,--,Sherman Crater, ,[ Unknown ],48.777,-121.813,3285 m,United States,Stratovolcano(es),0,46,"8,568","1,990,504"
Cagua,Confirmed Eruption,1860 Oct,2,,Historical Observations,Unknown,18.222,122.123,1133 m,Philippines,Stratovolcano,99,"1,137","34,018","1,480,952"
Sangeang Api,Confirmed Eruption,1860 Sep 11,2,,Historical Observations,1860 Oct,-8.2,119.07,1912 m,Indonesia,Complex,204,"1,155","39,301","809,132"
Raung,Confirmed Eruption,1860 Sep,2,,Historical Observations,Unknown,-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Fuego,Confirmed Eruption,1860 Aug 18,2,,Historical Observations,1860 Sep 23,14.473,-90.88,3763 m,Guatemala,Stratovolcano(es),"1,373","54,332","1,016,339","7,677,809"
"Chillan, Nevados de",Confirmed Eruption,1860 Jul 25,2,W flank of Volcán Viejo (Volcán Renegado),Historical Observations,Unknown,-36.868,-71.378,3180 m,Chile,Stratovolcano,68,371,"3,733","512,325"
Alaid,Confirmed Eruption,1860 Jul 7,3,,Historical Observations,1860 Jul 9,50.861,155.565,2285 m,Russia,Stratovolcano,0,64,64,"2,887"
Tengger Caldera,Confirmed Eruption,1860 Jun 12,2,Bromo,Historical Observations,1860 Jun 14,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
Gamalama,Uncertain Eruption,1860 Jun,1,, ,[ Unknown ],0.8,127.33,1715 m,Indonesia,Stratovolcano(es),"103,429","204,820","308,691","536,972"
Katla,Confirmed Eruption,1860 May 8,4,,Historical Observations,1860 May 27,63.633,-19.083,1490 m,Iceland,Subglacial,0,0,473,"11,326"
Semeru,Confirmed Eruption,1860 Apr,2,,Historical Observations,1860 Jun,-8.108,112.922,3657 m,Indonesia,Stratovolcano,"2,686","8,375","1,022,197","20,098,931"
Slamet,Confirmed Eruption,1860 Mar 19,2,,Historical Observations,1860 Apr 11,-7.242,109.208,3428 m,Indonesia,Stratovolcano,856,"13,401","2,904,026","20,217,467"
"Fournaise, Piton de la",Confirmed Eruption,1860 Jan 22,2,Dolomieu and l'Enclos,Historical Observations,1860 Mar 20,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Mayon,Confirmed Eruption,1860,--,,Historical Observations,Unknown,13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Makian,Uncertain Eruption,1860,1,, ,[ Unknown ],0.32,127.4,1357 m,Indonesia,Stratovolcano,"4,986","8,466","21,360","441,768"
Babuyan Claro,Confirmed Eruption,1860,2,Babuyan Claro,Historical Observations,Unknown,19.524,121.95,1064 m,Philippines,Stratovolcano(es),208,222,222,"11,819"
Aira,Confirmed Eruption,1860,1,Minami-dake,Historical Observations,Unknown,31.593,130.657,1117 m,Japan,Caldera,"4,918","113,874","905,254","2,610,033"
