volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Asamayama,Confirmed Eruption,1729 Feb,2,,Historical Observations,Unknown,36.406,138.523,2568 m,Japan,Complex,583,"22,371","457,576","7,629,353"
Taal,Confirmed Eruption,1729,2,Binintiang Munti,Historical Observations,Unknown,14.002,120.993,311 m,Philippines,Caldera,"717,090","717,090","2,380,326","24,814,047"
Bardarbunga,Confirmed Eruption,1729,1,Volcano Uncertain: Dyngjuhals ?,Unknown,Unknown,64.633,-17.516,2000 m,Iceland,Stratovolcano,0,0,0,"1,348"
Krafla,Confirmed Eruption,1728 Dec 18,2,Leirhnjúkur crater row,Historical Observations,Unknown,65.715,-16.728,800 m,Iceland,Caldera,384,384,"1,258","25,667"
Asamayama,Confirmed Eruption,1728 Nov 10,2,,Historical Observations,Unknown,36.406,138.523,2568 m,Japan,Complex,583,"22,371","457,576","7,629,353"
Sangay,Confirmed Eruption,1728 Sep 30,3,,Historical Observations,1916 (in or before),-2.005,-78.341,5286 m,Ecuador,Stratovolcano,231,"1,675","15,130","1,355,275"
Krafla,Confirmed Eruption,1728 Apr 18,2,"Leirhnjúkur, Hrossadalur, Bjarnarflag",Historical Observations,Unknown,65.715,-16.728,800 m,Iceland,Caldera,384,384,"1,258","25,667"
Antisana,Uncertain Eruption,1728,0,, ,[ Unknown ],-0.481,-78.141,5753 m,Ecuador,Stratovolcano,232,"2,220","56,154","3,314,142"
Etna,Confirmed Eruption,1727 Nov 22,2,Central Crater (SW slope),Historical Observations,1728 May 10 (?),37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Krafla,Confirmed Eruption,1727 Aug 21,2,North end of Leirhnjúkur,Historical Observations,Unknown,65.715,-16.728,800 m,Iceland,Caldera,384,384,"1,258","25,667"
Oraefajokull,Confirmed Eruption,1727 Aug 3,4,"Caldera, west flank (to 1100 m)",Historical Observations,1728 May 1 ± 30 days,64,-16.65,2010 m,Iceland,Stratovolcano,0,2,367,"2,723"
Vulcano,Confirmed Eruption,1727,3,Forgia Vecchia II and Fossa,Historical Observations,Unknown,38.404,14.962,500 m,Italy,Stratovolcano(es),"2,259","23,059","86,766","2,093,800"
