volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Copahue,Confirmed Eruption,0250 BCE,--,,Radiocarbon (uncorrected),Unknown,-37.856,-71.183,2953 m,Chile-Argentina,Stratovolcano,88,555,"3,042","138,414"
Deception Island,Confirmed Eruption,0250 BCE,--,Tephra layer AP-8,Radiocarbon (uncorrected),Unknown,-63.001,-60.652,602 m,Antarctica,Caldera,0,0,0,0
Hekla,Confirmed Eruption,0250 BCE,--,"NE flank, Vatnafjöll (Langviuhraun)",Tephrochronology,Unknown,63.983,-19.666,1490 m,Iceland,Stratovolcano,0,0,298,"22,845"
Katla,Confirmed Eruption,0250 BCE,--,,Tephrochronology,Unknown,63.633,-19.083,1490 m,Iceland,Subglacial,0,0,473,"11,326"
"Maule, Laguna del",Confirmed Eruption,0250 BCE,0,rcd,Ar/Ar,Unknown,-36.058,-70.492,2162 m,Chile,Caldera,"1,045","1,045","1,521","169,334"
Campi Flegrei del Mar di Sicilia,Confirmed Eruption,0253 BCE,--,,Historical Observations,Unknown,37.1,12.7,-8 m,Italy,Submarine,"230,578","230,578","230,578","633,350"
Methana,Confirmed Eruption,0258 BCE,3,Kameno Vouno,Historical Observations,Unknown,37.615,23.336,760 m,Greece,Lava dome(s),152,"1,683","48,917","4,220,783"
Craters of the Moon,Confirmed Eruption,0260 BCE,0,"Big Craters, Trench Mortar Flat",Radiocarbon (uncorrected),Unknown,43.42,-113.5,2005 m,United States,Pyroclastic cone(s),15,15,"1,459","93,300"
Acatenango,Confirmed Eruption,0260 BCE,--,Pico Central,Radiocarbon (uncorrected),Unknown,14.501,-90.876,3976 m,Guatemala,Stratovolcano(es),"4,329","60,730","1,042,836","7,634,778"
Cayambe,Confirmed Eruption,0260 BCE,--,,Tephrochronology,Unknown,0.029,-77.986,5790 m,Ecuador,Compound,70,"1,148","109,630","3,154,986"
Tungurahua,Confirmed Eruption,0270 BCE,--,,Radiocarbon (uncorrected),Unknown,-1.467,-78.442,5023 m,Ecuador,Stratovolcano,476,"20,990","183,640","1,571,744"
Arenal,Confirmed Eruption,0270 BCE,4,Tephra layer AR-11/ET-9A,Tephrochronology,Unknown,10.463,-84.703,1670 m,Costa Rica,Stratovolcano,"3,429","15,643","96,512","3,027,485"
Kilauea,Confirmed Eruption,0270 BCE,0,Kipuka Nene flows,Radiocarbon (corrected),Unknown,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Cleft Segment,Confirmed Eruption,0270 BCE,0,"S Cleft Segment, S Juan de Fuca Ridge",Uranium-series,Unknown,44.83,-130.3,-2140 m,Undersea Features,Submarine,0,0,0,0
Redoubt,Confirmed Eruption,0270 BCE,--,,Varve Count,Unknown,60.485,-152.742,3108 m,United States,Stratovolcano,0,0,1,"32,410"
Rausudake,Confirmed Eruption,0270 BCE,--,Ra3-Ra8 tephras,Radiocarbon (corrected),Unknown,44.076,145.122,1660 m,Japan,Stratovolcano,35,"4,623","8,574","218,325"
Bamus,Confirmed Eruption,0270 BCE,--,,Radiocarbon (uncorrected),Unknown,-5.2,151.23,2248 m,Papua New Guinea,Stratovolcano,50,630,"19,320","71,997"
Ata,Confirmed Eruption,0270 BCE,4,"Kaimon, Tephra set Km-lamda",Tephrochronology,Unknown,31.22,130.57,924 m,Japan,Caldera(s),"93,134","93,134","171,590","1,891,380"
Kikai,Confirmed Eruption,0280 BCE,--,Iwo-dake,Radiocarbon (uncorrected),Unknown,30.793,130.305,704 m,Japan,Caldera,152,152,152,"1,002,905"
St. Helens,Confirmed Eruption,0280 BCE,--,,Radiocarbon (corrected),Unknown,46.2,-122.18,2549 m,United States,Stratovolcano,78,427,"2,221","2,173,101"
Haleakala,Confirmed Eruption,0290 BCE,--,SW rift zone (~2400 m),Radiocarbon (corrected),Unknown,20.708,-156.25,3055 m,United States,Shield,"26,074","26,074","65,398","157,582"
Salton Buttes,Confirmed Eruption,0290 BCE,--,Mullet Island,Magnetism,Unknown,33.197,-115.616,-40 m,United States,Lava dome(s),227,408,"38,579","1,214,088"
Wapi Lava Field,Confirmed Eruption,0300 BCE,2,"Kings Bowl Rift, Wapi Lava Field",Tephrochronology,Unknown,42.88,-113.22,1604 m,United States,Shield,6,6,"1,394","172,539"
Mauna Loa,Confirmed Eruption,0300 BCE,0,NE rift zone,Radiocarbon (uncorrected),Unknown,19.475,-155.608,4170 m,United States,Shield,45,45,"1,906","175,315"
Adams,Confirmed Eruption,0300 BCE,2,Tephra layer 22,Tephrochronology,Unknown,46.206,-121.49,3742 m,United States,Stratovolcano,0,70,"4,019","393,303"
Sheveluch,Confirmed Eruption,0300 BCE,4,West flank (Karan),Radiocarbon (corrected),Unknown,56.653,161.36,3283 m,Russia,Stratovolcano,0,0,"1,718","11,613"
Akan,Confirmed Eruption,0300 BCE,--,"Akan-Fuji, AS-2-6, AL-1-3 tephras",Tephrochronology,Unknown,43.384,144.013,1499 m,Japan,Caldera,"2,062","2,062","9,756","929,538"
Khodutka,Confirmed Eruption,0300 BCE,0,,Tephrochronology,Unknown,52.062,157.711,2039 m,Russia,Stratovolcano(es),0,0,187,"3,525"
Okataina,Confirmed Eruption,0300 BCE,0,Mt. Edgecumbe,Tephrochronology,Unknown,-38.12,176.5,1111 m,New Zealand,Lava dome(s),18,579,"79,591","362,413"
Vulcano,Confirmed Eruption,0300 BCE,2,Fossa,Historical Observations,Unknown,38.404,14.962,500 m,Italy,Stratovolcano(es),"2,259","23,059","86,766","2,093,800"
Pelee,Confirmed Eruption,0300 BCE,--,,Radiocarbon (corrected),Unknown,14.809,-61.165,1394 m,France,Stratovolcano,251,"5,025","382,633","609,576"
Heidarspordar,Confirmed Eruption,0300 BCE,2,Threngslaborgir-Ludentsborgir crater row,Radiocarbon (corrected),Unknown,65.583,-16.817,490 m,Iceland,Fissure vent,,,,
"Misti, El",Confirmed Eruption,0310 BCE,--,,Radiocarbon (corrected),Unknown,-16.294,-71.409,5822 m,Peru,Stratovolcano,82,"1,507","918,280","1,052,408"
Augustine,Confirmed Eruption,0310 BCE,--,,Radiocarbon (corrected),Unknown,59.363,-153.43,1252 m,United States,Lava dome(s),0,0,0,759
Taapaca,Confirmed Eruption,0320 BCE,--,,Radiocarbon (uncorrected),Unknown,-18.1,-69.5,5860 m,Chile,Complex,3,87,"1,994","505,369"
"Chillan, Nevados de",Confirmed Eruption,0320 BCE,--,Volcán Viejo,Radiocarbon (uncorrected),Unknown,-36.868,-71.378,3180 m,Chile,Stratovolcano,68,371,"3,733","512,325"
Atacazo,Confirmed Eruption,0320 BCE,5,"Ninahuilca Chico II dome, N6 tephra",Radiocarbon (uncorrected),Unknown,-0.353,-78.617,4463 m,Ecuador,Stratovolcano,449,"212,988","1,837,303","3,769,593"
Unknown Source,Confirmed Eruption,0325 BCE,--,,,,,,,,,,,,
Calbuco,Confirmed Eruption,0330 BCE,--,,Radiocarbon (uncorrected),Unknown,-41.33,-72.618,1974 m,Chile,Stratovolcano,70,871,"32,265","575,233"
Taveuni,Confirmed Eruption,0330 BCE,2,,Radiocarbon (corrected),Unknown,-16.82,-179.97,1241 m,Fiji,Shield,692,"3,220","19,186","146,131"
Merapi,Confirmed Eruption,0340 BCE,3,Ngrangkah Tephra,Radiocarbon (corrected),Unknown,-7.54,110.446,2910 m,Indonesia,Stratovolcano,"49,205","185,849","4,348,473","24,728,414"
Unknown Source,Confirmed Eruption,0345 BCE,--,,,,,,,,,,,,
Bamus,Confirmed Eruption,0350 BCE,--,,Radiocarbon (uncorrected),Unknown,-5.2,151.23,2248 m,Papua New Guinea,Stratovolcano,50,630,"19,320","71,997"
Ambitle,Confirmed Eruption,0350 BCE,--,East side of caldera,Radiocarbon (uncorrected),Unknown,-4.08,153.65,450 m,Papua New Guinea,Stratovolcano,"1,643","9,195","9,779","24,367"
Stromboli,Confirmed Eruption,0350 BCE,2,,Historical Observations,Unknown,38.789,15.213,924 m,Italy,Stratovolcano,"2,225","2,225","3,894","1,347,563"
Etna,Discredited Eruption,0350 BCE,--,, ,[ Unknown ],37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Augustine,Confirmed Eruption,0350 BCE,--,,Tephrochronology,Unknown,59.363,-153.43,1252 m,United States,Lava dome(s),0,0,0,759
Redoubt,Confirmed Eruption,0350 BCE,--,,Varve Count,Unknown,60.485,-152.742,3108 m,United States,Stratovolcano,0,0,1,"32,410"
Ukinrek Maars,Confirmed Eruption,0350 BCE,--,Gas Rocks,Radiocarbon (uncorrected),Unknown,57.832,-156.51,91 m,United States,Maar(s),0,0,0,739
Khangar,Confirmed Eruption,0350 BCE,--,,Radiocarbon (corrected),Unknown,54.761,157.407,1967 m,Russia,Stratovolcano,0,0,38,"11,805"
Three Sisters,Confirmed Eruption,0350 BCE,4,SW flank of South Sister (Rock Mesa),Radiocarbon (uncorrected),Unknown,44.133,-121.767,3159 m,United States,Complex,0,0,"5,672","279,885"
Craters of the Moon,Confirmed Eruption,0350 BCE,0,North Crater,Magnetism,Unknown,43.42,-113.5,2005 m,United States,Pyroclastic cone(s),15,15,"1,459","93,300"
