volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Kanlaon,Confirmed Eruption,2003 Mar 7,1,,Historical Observations,2003 Jul 23,10.412,123.132,2435 m,Philippines,Stratovolcano,"1,662","40,276","923,257","9,345,000"
Kikai,Confirmed Eruption,2003 Feb 16,2,Iwo-dake,Historical Observations,2003 Oct 16 ± 15 days,30.793,130.305,704 m,Japan,Caldera,152,152,152,"1,002,905"
Asamayama,Confirmed Eruption,2003 Feb 6,1,,Historical Observations,2003 Apr 18,36.406,138.523,2568 m,Japan,Complex,583,"22,371","457,576","7,629,353"
Bezymianny,Confirmed Eruption,2002 Dec 25,2,,Historical Observations,2002 Dec 28 (?),55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Lokon-Empung,Confirmed Eruption,2002 Dec 23,2,Tompaluan,Historical Observations,2003 Apr 1,1.358,124.792,1580 m,Indonesia,Stratovolcano(es),"12,183","75,684","942,160","1,583,346"
Fukutoku-Oka-no-Ba,Uncertain Eruption,2002 Dec 19,0,, ,[ 2003 Mar 11 ],24.285,141.481,-29 m,Japan,Submarine,11,19,19,951
Kanlaon,Confirmed Eruption,2002 Nov 28,1,,Historical Observations,2002 Nov 28,10.412,123.132,2435 m,Philippines,Stratovolcano,"1,662","40,276","923,257","9,345,000"
Klyuchevskoy,Confirmed Eruption,2002 Nov 24,2,,Historical Observations,2004 Apr 8,56.056,160.642,4754 m,Russia,Stratovolcano,0,0,292,"12,406"
"Fournaise, Piton de la",Confirmed Eruption,2002 Nov 16,2,East flank of Dolomieu (1850-1540 m),Historical Observations,2002 Dec 3,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Tinakula,Uncertain Eruption,2002 Nov 16,1,, ,[ Unknown ],-10.386,165.804,796 m,Solomon Islands,Stratovolcano,0,19,19,"20,155"
Papandayan,Confirmed Eruption,2002 Nov 11,2,"Kawah Baru, Kawah Nangklak",Historical Observations,2002 Dec 19 ± 3 days,-7.32,107.73,2665 m,Indonesia,Stratovolcano(es),"6,835","163,468","1,637,971","19,312,972"
Reventador,Confirmed Eruption,2002 Nov 3,4,Summit and SE flank (2600 m),Historical Observations,2003 Jan 10 (?),-0.077,-77.656,3562 m,Ecuador,Stratovolcano,484,963,"4,403","2,619,647"
Monowai,Confirmed Eruption,2002 Nov 1,0,,Hydrophonic,2002 Nov 24,-25.887,-177.188,-132 m,New Zealand,Submarine,0,0,0,0
Manam,Confirmed Eruption,2002 Oct 31,2,,Historical Observations,Unknown,-4.08,145.037,1807 m,Papua New Guinea,Stratovolcano,"1,106","2,553","24,364","180,402"
Etna,Confirmed Eruption,2002 Oct 26,3,"NE Rift (3100-1900 m), S flank (2850-2600 m)",Historical Observations,2003 Jan 28,37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Lascar,Confirmed Eruption,2002 Oct 26,2,,Historical Observations,2002 Oct 27,-23.37,-67.73,5592 m,Chile,Stratovolcano(es),0,70,570,"8,119"
Telica,Confirmed Eruption,2002 Oct 17,0,,Historical Observations,Unknown,12.606,-86.84,1036 m,Nicaragua,Stratovolcano(es),"1,079","21,990","327,294","2,982,538"
Llaima,Confirmed Eruption,2002 Oct 13,1,,Historical Observations,Unknown,-38.692,-71.729,3125 m,Chile,Stratovolcano,86,811,"18,568","630,458"
Lewotobi,Confirmed Eruption,2002 Oct 12,1,Lewotobi Lakilaki,Historical Observations,2002 Oct 12 (?),-8.542,122.775,1703 m,Indonesia,Stratovolcano(es),"18,686","59,084","284,976","906,184"
Mayon,Confirmed Eruption,2002 Oct 11,1,,Historical Observations,2002 Oct 11,13.257,123.685,2462 m,Philippines,Stratovolcano,"4,350","248,448","1,166,441","4,142,375"
Guagua Pichincha,Confirmed Eruption,2002 Oct 11,1,,Historical Observations,2002 Dec 7,-0.171,-78.598,4784 m,Ecuador,Stratovolcano,449,"32,488","2,064,475","3,581,801"
Rabaul,Confirmed Eruption,2002 Oct 6,2,Tavurvur,Historical Observations,2004 Feb 17,-4.271,152.203,688 m,Papua New Guinea,Pyroclastic shield,"3,311","43,531","199,361","252,121"
Ruang,Confirmed Eruption,2002 Sep 25,4,,Historical Observations,2002 Sep 29 (?),2.3,125.37,725 m,Indonesia,Stratovolcano,878,"1,652","2,766","149,159"
Veniaminof,Confirmed Eruption,2002 Sep 24,1,Western intracaldera cone,Historical Observations,2003 Mar 23,56.17,-159.38,2507 m,United States,Stratovolcano,0,0,0,542
Sumisujima,Uncertain Eruption,2002 Sep 4,0,, ,[ 2002 Sep 4 ],31.44,140.051,136 m,Japan,Submarine,0,0,0,0
Ulawun,Confirmed Eruption,2002 Aug 22,2,,Historical Observations,2002 Nov 3,-5.05,151.33,2334 m,Papua New Guinea,Stratovolcano,30,"1,801","10,577","61,018"
Izu-Torishima,Confirmed Eruption,2002 Aug 12,2,Iwo-yama,Historical Observations,2002 Aug 20,30.484,140.303,394 m,Japan,Stratovolcano,21,21,21,21
Witori,Confirmed Eruption,2002 Aug 3,3,Pago (summit and NW flank),Historical Observations,2003 Mar 26 ± 25 days,-5.576,150.516,724 m,Papua New Guinea,Caldera,"24,509","24,509","37,824","145,382"
Ritter Island,Uncertain Eruption,2002 Aug 2,2,, ,[ 2002 Aug 2 ],-5.519,148.115,75 m,Papua New Guinea,Stratovolcano,3,43,"4,323","68,670"
Wrangell,Uncertain Eruption,2002 Aug 1,1,, ,[ 2002 Aug 2 ],62.006,-144.017,4278 m,United States,Shield,0,0,0,"1,844"
Ijen,Uncertain Eruption,2002 Jul 29,1,Kawah Ijen, ,[ 2002 Aug 15 ± 3 days ],-8.058,114.242,2769 m,Indonesia,Stratovolcano(es),"1,098","5,504","664,199","6,846,855"
Nyamulagira,Confirmed Eruption,2002 Jul 25,2,"Summit caldera, north & south flanks",Historical Observations,2002 Sep 16 (?) ± 15 days,-1.408,29.2,3058 m,DR Congo,Shield,"3,751","27,027","711,356","8,333,476"
Korovin,Confirmed Eruption,2002 Jul 16,1,,Historical Observations,Unknown,52.381,-174.166,1518 m,United States,Stratovolcano(es),0,0,205,205
Bardarbunga,Uncertain Eruption,2002 Jul 16,0,Loki-Fögrufjöll (W and E Loki cauldrons), ,[ 2002 Sep 16 ± 15 days ],64.633,-17.516,2000 m,Iceland,Stratovolcano,0,0,0,"1,348"
Raung,Confirmed Eruption,2002 Jun 16,2,,Historical Observations,2002 Aug 25 (in or after),-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Galeras,Confirmed Eruption,2002 Jun 7,1,El Pinta vent,Historical Observations,2002 Jun 7 (?),1.22,-77.37,4276 m,Colombia,Complex,705,"120,817","630,777","1,700,248"
Pacaya,Confirmed Eruption,2002 May 30,1,MacKenney Crater,Historical Observations,2002 Jun 17 (?),14.382,-90.601,2569 m,Guatemala,Complex,"4,250","53,579","2,454,482","7,033,094"
San Cristobal,Confirmed Eruption,2002 May 29,1,,Historical Observations,2002 Dec 16 (?),12.702,-87.004,1745 m,Nicaragua,Stratovolcano,208,"7,876","351,227","2,002,579"
