volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Oddnyjarhnjukur-Langjokull,Confirmed Eruption,2050 BCE,0,Lambahraun,Radiocarbon (corrected),Unknown,64.85,-19.7,1100 m,Iceland,Subglacial,0,0,5,"11,973"
Sete Cidades,Confirmed Eruption,2050 BCE,--,Caldeira do Alfreres and NW flank,Tephrochronology,Unknown,37.865,-25.785,842 m,Portugal,Stratovolcano,"3,515","10,365","102,848","127,154"
Askja,Confirmed Eruption,2050 BCE,0,"Flatadyngja, other areas NE of Dyngjufjöll",Tephrochronology,Unknown,65.033,-16.783,1080 m,Iceland,Stratovolcano,0,0,0,"13,028"
Erebus,Confirmed Eruption,2050 BCE,0,Western Crater (Upper Ice Tower flow),Ar/Ar,Unknown,-77.53,167.17,3794 m,Antarctica,Stratovolcano,0,0,0,0
Ljosufjoll,Confirmed Eruption,2050 BCE,3,"Krothraunskula, Raudakúla, Graakula",Tephrochronology,Unknown,64.9,-22.483,1063 m,Iceland,Fissure vent(s),713,713,"1,511","192,797"
Soufriere Guadeloupe,Uncertain Eruption,2050 BCE,--,, ,[ Unknown ],16.044,-61.664,1467 m,France,Stratovolcano,"8,839","71,345","256,899","482,449"
Cotopaxi,Confirmed Eruption,2050 BCE,5,Tephra layers I1,Tephrochronology,Unknown,-0.677,-78.436,5911 m,Ecuador,Stratovolcano,251,"7,299","152,139","3,631,492"
Kilauea,Confirmed Eruption,2080 BCE,0,,Radiocarbon (corrected),Unknown,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Campi Flegrei,Confirmed Eruption,2080 BCE,2,Monte Olibano-Accademia,Tephrochronology,Unknown,40.827,14.139,458 m,Italy,Caldera,"2,234,109","2,234,109","3,006,865","6,019,697"
Acigol-Nevsehir,Confirmed Eruption,2080 BCE,--,,Anthropology,Unknown,38.537,34.621,1683 m,Turkey,Caldera,"127,863","127,863","218,469","2,253,483"
Guagua Pichincha,Confirmed Eruption,2090 BCE,--,,Radiocarbon (corrected),Unknown,-0.171,-78.598,4784 m,Ecuador,Stratovolcano,449,"32,488","2,064,475","3,581,801"
Azufral,Confirmed Eruption,2095 BCE,--,,Radiocarbon (uncorrected),Unknown,1.08,-77.68,4070 m,Colombia,Stratovolcano,"4,334","40,657","387,292","1,817,609"
Machin,Confirmed Eruption,2100 BCE,--,,Radiocarbon (corrected),Unknown,4.487,-75.389,2749 m,Colombia,Stratovolcano,"2,150","15,212","570,836","4,165,071"
Pelee,Confirmed Eruption,2100 BCE,--,Tephra layer NRS2,Radiocarbon (corrected),Unknown,14.809,-61.165,1394 m,France,Stratovolcano,251,"5,025","382,633","609,576"
