volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
"Tolima, Nevado del",Confirmed Eruption,1825 Mar 2,2,,Historical Observations,Unknown,4.658,-75.33,5215 m,Colombia,Stratovolcano,"1,660","6,563","441,916","4,258,333"
Fernandina,Confirmed Eruption,1825 Feb 14,3,East summit and SE flank,Historical Observations,1825 Oct (in or after),-0.37,-91.55,1476 m,Ecuador,Shield,129,129,208,"1,972"
Guallatiri,Confirmed Eruption,1825,2,,Historical Observations,Unknown,-18.42,-69.092,6071 m,Chile,Stratovolcano,0,63,"2,290","45,906"
Izalco,Confirmed Eruption,1825,2,,Historical Observations,Unknown,13.813,-89.633,1950 m,El Salvador,Stratovolcano,937,"55,665","1,272,308","6,415,818"
Shishaldin,Confirmed Eruption,1825,2,NE flank (1300 m),Historical Observations,Unknown,54.756,-163.97,2857 m,United States,Stratovolcano,0,0,10,197
Pavlof,Confirmed Eruption,1825,2,,Historical Observations,Unknown,55.417,-161.894,2493 m,United States,Stratovolcano,0,0,0,"3,002"
Rainier,Discredited Eruption,1825,--,, ,[ Unknown ],46.853,-121.76,4392 m,United States,Stratovolcano,0,128,"3,187","2,667,609"
Prevo Peak,Confirmed Eruption,1825,2,,Historical Observations,Unknown,47.02,152.12,1360 m,Russia,Stratovolcano,0,6,92,146
Pagan,Confirmed Eruption,1825,2,North Pagan,Historical Observations,Unknown,18.13,145.8,570 m,United States,Stratovolcano(es),0,0,0,0
Dieng Volcanic Complex,Confirmed Eruption,1825,2,Pakuwaja,Historical Observations,Unknown,-7.2,109.879,2565 m,Indonesia,Complex,"1,092,929","1,092,929","1,886,942","24,381,814"
Kelud,Confirmed Eruption,1825,2,,Historical Observations,Unknown,-7.935,112.314,1730 m,Indonesia,Stratovolcano,279,"50,901","2,087,876","24,999,627"
Karangetang,Confirmed Eruption,1825,2,,Historical Observations,Unknown,2.781,125.407,1797 m,Indonesia,Stratovolcano,892,"4,478","11,066","65,667"
Banda Api,Confirmed Eruption,1825,1,,Historical Observations,1831,-4.523,129.881,596 m,Indonesia,Caldera,"5,682","5,682","5,810","5,810"
Taal,Confirmed Eruption,1825,2,,Historical Observations,Unknown,14.002,120.993,311 m,Philippines,Caldera,"717,090","717,090","2,380,326","24,814,047"
Balbi,Uncertain Eruption,1825,--,Crater B ?, ,[ Unknown ],-5.92,154.98,2715 m,Papua New Guinea,Stratovolcano,314,505,"11,904","127,928"
Cameroon,Confirmed Eruption,1825,2,,Historical Observations,Unknown,4.203,9.17,4095 m,Cameroon,Stratovolcano,328,"26,053","417,460","3,079,036"
"Fournaise, Piton de la",Confirmed Eruption,1824 Dec,0,,Historical Observations,Unknown,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
