volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Pacaya,Confirmed Eruption,1965 Jul 4,3,MacKenney Crater and flank vents,Historical Observations,1989 Mar 10,14.382,-90.601,2569 m,Guatemala,Complex,"4,250","53,579","2,454,482","7,033,094"
"Chillan, Nevados de",Uncertain Eruption,1965 Jul 2,--,Volcán Nuevo, ,[ Unknown ],-36.868,-71.378,3180 m,Chile,Stratovolcano,68,371,"3,733","512,325"
Krakatau,Confirmed Eruption,1965 Jul 2,1,Anak Krakatau,Historical Observations,Unknown,-6.102,105.423,155 m,Indonesia,Caldera,"7,177","7,177","8,027","6,326,159"
Manam,Confirmed Eruption,1965 Jul 2,2,South Crater,Historical Observations,1966 Jan 25 (in or after),-4.08,145.037,1807 m,Papua New Guinea,Stratovolcano,"1,106","2,553","24,364","180,402"
Tolbachik,Confirmed Eruption,1965 Jul 2,1,,Historical Observations,Unknown,55.832,160.326,3611 m,Russia,Shield,0,0,225,"10,487"
Southern EPR-Segment K,Confirmed Eruption,1965 Jul 2,0,South of Aldo-Kihi lava flow,Magnetism,Unknown,-17.436,-113.206,-2566 m,Undersea Features,Submarine,0,0,0,0
San Miguel,Confirmed Eruption,1965 Jun 14,2,Summit crater,Historical Observations,Unknown,13.434,-88.269,2130 m,El Salvador,Stratovolcano,"1,232","63,007","796,482","3,633,885"
Asamayama,Confirmed Eruption,1965 May 23,2,,Historical Observations,1965 May 23,36.406,138.523,2568 m,Japan,Complex,583,"22,371","457,576","7,629,353"
Karymsky,Confirmed Eruption,1965 May 15,3,,Historical Observations,1967 Feb 16 ± 15 days,54.049,159.443,1513 m,Russia,Stratovolcano,0,0,291,"10,848"
Akan,Confirmed Eruption,1965 May 15,1,Me-Akan (Nakamachineshiri),Historical Observations,1965 May 15 ± 5 days,43.384,144.013,1499 m,Japan,Caldera,"2,062","2,062","9,756","929,538"
Sirung,Confirmed Eruption,1965 May 7,1,,Historical Observations,1965 May 18,-8.508,124.13,862 m,Indonesia,Complex,"5,966","19,334","69,744","418,756"
Karangetang,Confirmed Eruption,1965 Apr 5,2,,Historical Observations,1967 Jun 16 ± 15 days,2.781,125.407,1797 m,Indonesia,Stratovolcano,892,"4,478","11,066","65,667"
Bezymianny,Confirmed Eruption,1965 Mar 9,3,,Historical Observations,1970 Mar 16 ± 15 days,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Kilauea,Confirmed Eruption,1965 Mar 5,0,East rift zone (700-915 m),Historical Observations,1965 Mar 15,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
Tangkuban Parahu,Confirmed Eruption,1965 Feb 16,1,,Historical Observations,1965 Mar 16 ± 15 days,-6.77,107.6,2084 m,Indonesia,Stratovolcano,"100,608","518,822","5,729,309","32,855,731"
Redoubt,Discredited Eruption,1965 Jan 29,--,, ,[ 1965 Feb 16 ± 15 days ],60.485,-152.742,3108 m,United States,Stratovolcano,0,0,1,"32,410"
Telica,Confirmed Eruption,1965 Jan 16,1,,Historical Observations,1965 Jan 28,12.606,-86.84,1036 m,Nicaragua,Stratovolcano(es),"1,079","21,990","327,294","2,982,538"
Poas,Confirmed Eruption,1964 Dec 25,2,,Historical Observations,1965 Mar 16 ± 15 days,10.2,-84.233,2697 m,Costa Rica,Stratovolcano,"1,947","11,107","950,796","3,411,023"
Bezymianny,Confirmed Eruption,1964 Dec 25,1,,Historical Observations,1964 Dec 26,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
"Fournaise, Piton de la",Confirmed Eruption,1964 Dec 21,2,East flank (1930 m),Historical Observations,1965 Feb 15,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Dieng Volcanic Complex,Confirmed Eruption,1964 Dec 13,1,Sileri Crater,Historical Observations,1964 Dec 13,-7.2,109.879,2565 m,Indonesia,Complex,"1,092,929","1,092,929","1,886,942","24,381,814"
Langila,Confirmed Eruption,1964 Dec 4,2,"Crater 2, Crater 3",Historical Observations,1966 Sep 23 ± 3 days,-5.525,148.42,1330 m,Papua New Guinea,Complex,213,"3,653","11,641","45,698"
Raoul Island,Confirmed Eruption,1964 Nov 19,2,"West side of Green Lake, Denham caldera",Historical Observations,1965 Apr 25 (?),-29.27,-177.92,516 m,New Zealand,Stratovolcano,0,0,0,0
Sheveluch,Confirmed Eruption,1964 Nov 12,4,Molodoy Sheveluch summit domes,Historical Observations,1964 Nov 12,56.653,161.36,3283 m,Russia,Stratovolcano,0,0,"1,718","11,613"
San Miguel,Confirmed Eruption,1964 Oct 23,2,,Historical Observations,1964 Nov 16 ± 15 days,13.434,-88.269,2130 m,El Salvador,Stratovolcano,"1,232","63,007","796,482","3,633,885"
Asosan,Confirmed Eruption,1964 Oct 16,2,Naka-dake,Historical Observations,1966 Dec 16 ± 15 days,32.884,131.104,1592 m,Japan,Caldera,"75,559","75,559","234,591","6,507,519"
Tupungatito,Confirmed Eruption,1964 Aug 3,2,,Historical Observations,1964 Sep 19 (in or after),-33.425,-69.797,5660 m,Chile-Argentina,Stratovolcano,612,923,"6,161","6,169,105"
Kerinci,Confirmed Eruption,1964 Jul 8,2,,Historical Observations,1964 Jul 8 (?),-1.697,101.264,3800 m,Indonesia,Stratovolcano,304,"33,878","264,107","1,437,454"
Southern EPR at 8°S,Confirmed Eruption,1964 Jul 2,0,East Pacific Rise (8.3 deg S),Historical Observations,1969 Jul 2 (?) ± 182 days,-8.27,-107.95,-2800 m,Undersea Features,Submarine,0,0,0,0
Llaima,Confirmed Eruption,1964 Jul 2,2,,Historical Observations,Unknown,-38.692,-71.729,3125 m,Chile,Stratovolcano,86,811,"18,568","630,458"
"Negro, Cerro",Uncertain Eruption,1964 Jul 2,2,, ,[ Unknown ],12.506,-86.702,728 m,Nicaragua,Pyroclastic cone(s),"1,690","10,243","296,320","3,540,933"
Bezymianny,Confirmed Eruption,1964 Jun 25,2,,Historical Observations,1964 Sep 20,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Akan,Confirmed Eruption,1964 Jun 18,1,Me-Akan (Nakamachineshiri),Historical Observations,1964 Jul 4 (?),43.384,144.013,1499 m,Japan,Caldera,"2,062","2,062","9,756","929,538"
Trident,Confirmed Eruption,1964 May 31,3,SW flank,Historical Observations,Unknown,58.236,-155.1,1864 m,United States,Stratovolcano,0,0,0,117
Asosan,Confirmed Eruption,1964 May 14,1,Naka-dake,Historical Observations,1964 May 14,32.884,131.104,1592 m,Japan,Caldera,"75,559","75,559","234,591","6,507,519"
"Fournaise, Piton de la",Confirmed Eruption,1964 Apr 30,2,"Dolomieu, upper east and NE flanks",Historical Observations,1964 May 8,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Bagana,Confirmed Eruption,1964 Apr 24,2,,Historical Observations,1965 Jul 2 ± 182 days,-6.137,155.196,1855 m,Papua New Guinea,Lava cone,198,404,"7,861","115,257"
Esmeralda Bank,Uncertain Eruption,1964 Apr 14,2,, ,[ Unknown ],15,145.25,-43 m,United States,Submarine,0,0,0,"84,578"
