volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Bandaisan,Confirmed Eruption,5050 BCE,--,HA-1.7 tephra,Tephrochronology,Unknown,37.601,140.072,1816 m,Japan,Stratovolcano,"5,923","17,608","327,454","4,709,782"
Mutnovsky,Confirmed Eruption,5050 BCE,3,,Tephrochronology,Unknown,52.449,158.196,2288 m,Russia,Complex,0,0,97,"250,858"
Krasheninnikov,Confirmed Eruption,5050 BCE,--,Southern cone,Radiocarbon (uncorrected),Unknown,54.596,160.27,1816 m,Russia,Caldera,308,308,814,"4,674"
Maly Semyachik,Confirmed Eruption,5050 BCE,--,Ceno-Semiachik,Radiocarbon (corrected),Unknown,54.135,159.674,1527 m,Russia,Caldera,98,98,497,"10,182"
Koryaksky,Confirmed Eruption,5050 BCE,--,,Tephrochronology,Unknown,53.321,158.712,3430 m,Russia,Stratovolcano,0,13,"142,050","257,322"
Zhupanovsky,Confirmed Eruption,5050 BCE,--,,Tephrochronology,Unknown,53.589,159.15,2899 m,Russia,Compound,0,0,153,"267,080"
Iliamna,Confirmed Eruption,5050 BCE,4,,Radiocarbon (uncorrected),Unknown,60.032,-153.09,3053 m,United States,Stratovolcano,0,0,1,"7,564"
Sheveluch,Discredited Eruption,5050 BCE,--,, ,[ Unknown ],56.653,161.36,3283 m,Russia,Stratovolcano,0,0,"1,718","11,613"
Piip,Confirmed Eruption,5050 BCE,--,,Tephrochronology,Unknown,55.42,167.33,-300 m,Russia,Submarine,0,0,0,574
Bezymianny,Confirmed Eruption,5050 BCE,--,Pra-Bezymianny,Tephrochronology,Unknown,55.972,160.595,2882 m,Russia,Stratovolcano,0,0,47,"11,728"
Adams Seamount,Confirmed Eruption,5050 BCE,0,,Potassium-Argon,Unknown,-25.37,-129.27,-39 m,Undersea Features,Submarine,0,0,0,44
Northern EPR at 9.8°N,Confirmed Eruption,5050 BCE,0,EPR axis and East and West of axis,Uranium-series,Unknown,9.83,-104.3,-2500 m,Undersea Features,Submarine,0,0,0,0
Rainier,Confirmed Eruption,5050 BCE,3,Tephra layer D,Radiocarbon (corrected),Unknown,46.853,-121.76,4392 m,United States,Stratovolcano,0,128,"3,187","2,667,609"
Loihi,Confirmed Eruption,5050 BCE,0,,Potassium-Argon,Unknown,18.92,-155.27,-975 m,United States,Submarine,0,0,0,"105,623"
Hargy,Confirmed Eruption,5050 BCE,--,Galloseulo,Radiocarbon (uncorrected),Unknown,-5.33,151.1,1148 m,Papua New Guinea,Stratovolcano,84,"5,093","14,613","85,504"
Stromboli,Confirmed Eruption,5050 BCE,0,Northern flank (Vallonazzo lava flow),Magnetism,Unknown,38.789,15.213,924 m,Italy,Stratovolcano,"2,225","2,225","3,894","1,347,563"
Silali,Confirmed Eruption,5050 BCE,--,Upper east flank,Ar/Ar,Unknown,1.15,36.23,1528 m,Kenya,Shield,157,784,"18,705","917,921"
Ata,Confirmed Eruption,5050 BCE,--,"Unagi, Narikawa and Yamakawa maars",Tephrochronology,Unknown,31.22,130.57,924 m,Japan,Caldera(s),"93,134","93,134","171,590","1,891,380"
Sand Mountain Field,Confirmed Eruption,5050 BCE,2,Jack Mountain,Magnetism,Unknown,44.38,-121.93,1664 m,United States,Pyroclastic cone(s),89,89,"1,574","519,291"
Belknap,Confirmed Eruption,5050 BCE,--,Tamolitch lava flow,Magnetism,Unknown,44.285,-121.841,2095 m,United States,Shield(s),0,0,"6,518","362,091"
Payun Matru,Confirmed Eruption,5050 BCE,0,Escorial del Matru caldera,Potassium-Argon,Unknown,-36.422,-69.241,3715 m,Argentina,Shield,0,0,151,"13,636"
Arenal,Confirmed Eruption,5060 BCE,4,Tephra layer AR-1/SFB,Radiocarbon (corrected),Unknown,10.463,-84.703,1670 m,Costa Rica,Stratovolcano,"3,429","15,643","96,512","3,027,485"
Mayor Island,Confirmed Eruption,5060 BCE,5,"South end of caldera, Taratimi Bay",Radiocarbon (corrected),Unknown,-37.28,176.25,355 m,New Zealand,Shield,105,105,141,"355,290"
Newberry,Confirmed Eruption,5070 BCE,3,Lower NW rift zone (Lava Butte),Radiocarbon (corrected),Unknown,43.722,-121.229,2434 m,United States,Shield,0,0,"16,437","180,091"
Fujisan,Confirmed Eruption,5070 BCE,--,Tephra layer I-7,Radiocarbon (uncorrected),Unknown,35.361,138.728,3776 m,Japan,Stratovolcano,570,"1,759","906,969","25,022,187"
Katla,Confirmed Eruption,5070 BCE,--,,Tephrochronology,Unknown,63.633,-19.083,1490 m,Iceland,Subglacial,0,0,473,"11,326"
Planchon-Peteroa,Confirmed Eruption,5080 BCE,3,OPV tephra,Radiocarbon (uncorrected),Unknown,-35.223,-70.568,3977 m,Chile,Stratovolcano(es),6,48,"1,345","634,959"
Puyehue-Cordon Caulle,Confirmed Eruption,5080 BCE,5,"Puyehue, PU-2 tephra",Radiocarbon (corrected),Unknown,-40.59,-72.117,2236 m,Chile,Stratovolcano,129,783,"7,163","515,357"
Nemrut Dagi,Confirmed Eruption,5085 BCE,--,,Varve Count,Unknown,38.654,42.229,2948 m,Turkey,Stratovolcano,608,"7,399","230,531","1,618,263"
Taupo,Confirmed Eruption,5100 BCE,3,SE Lake Taupo (Motutaiko Island) (Unit F),Radiocarbon (corrected),Unknown,-38.82,176,760 m,New Zealand,Caldera,"21,456","21,456","26,674","161,966"
Seguam,Confirmed Eruption,5100 BCE,0,W flank of cone in eastern caldera,Uranium-series,Unknown,52.315,-172.51,1054 m,United States,Stratovolcano(es),0,0,0,0
Spurr,Confirmed Eruption,5110 BCE,--,Mt. Spurr central dome/cone complex,Radiocarbon (uncorrected),Unknown,61.299,-152.251,3374 m,United States,Stratovolcano,0,0,0,"11,097"
Taranaki,Confirmed Eruption,5120 BCE,--,,Radiocarbon (uncorrected),Unknown,-39.3,174.07,2518 m,New Zealand,Stratovolcano,200,230,"77,381","104,499"
Etna,Confirmed Eruption,5150 BCE,--,,Radiocarbon (uncorrected),Unknown,37.748,14.999,3320 m,Italy,Stratovolcano(es),78,"3,291","1,016,540","3,052,770"
Adams,Confirmed Eruption,5150 BCE,2,Tephra layers 5-9,Tephrochronology,Unknown,46.206,-121.49,3742 m,United States,Stratovolcano,0,70,"4,019","393,303"
Mauna Kea,Confirmed Eruption,5150 BCE,--,North flank (Puu Kole),Radiocarbon (uncorrected),Unknown,19.82,-155.47,4205 m,United States,Shield,126,126,"9,950","166,888"
Popocatepetl,Confirmed Eruption,5150 BCE,4,Volcán El Fraile,Radiocarbon (uncorrected),Unknown,19.023,-98.622,5393 m,Mexico,Stratovolcano(es),325,"2,584","634,054","26,509,510"
Gorely,Confirmed Eruption,5150 BCE,3,,Tephrochronology,Unknown,52.559,158.03,1799 m,Russia,Caldera,0,0,19,"250,293"
Lascar,Confirmed Eruption,5150 BCE,0,"Eastern crater, Tumbres-Talabre lava flow",Surface Exposure,Unknown,-23.37,-67.73,5592 m,Chile,Stratovolcano(es),0,70,570,"8,119"
Hekla,Confirmed Eruption,5150 BCE,5,H5 tephra,Radiocarbon (corrected),Unknown,63.983,-19.666,1490 m,Iceland,Stratovolcano,0,0,298,"22,845"
Nemrut Dagi,Confirmed Eruption,5152 BCE,--,,Varve Count,Unknown,38.654,42.229,2948 m,Turkey,Stratovolcano,608,"7,399","230,531","1,618,263"
"Tolima, Nevado del",Confirmed Eruption,5160 BCE,--,,Radiocarbon (corrected),Unknown,4.658,-75.33,5215 m,Colombia,Stratovolcano,"1,660","6,563","441,916","4,258,333"
Katla,Confirmed Eruption,5180 BCE,--,Tephra layer A7,Tephrochronology,Unknown,63.633,-19.083,1490 m,Iceland,Subglacial,0,0,473,"11,326"
Jom-Bolok,Confirmed Eruption,5180 BCE,--,Jom-Bolok (Atkinson cone),Radiocarbon (corrected),Unknown,52.713,99.021,2047 m,Russia,Volcanic field,0,0,6,"3,578"
Ksudach,Confirmed Eruption,5200 BCE,5,"Ksudach IV caldera, Tephra layer KS3",Radiocarbon (corrected),Unknown,51.844,157.572,1079 m,Russia,Stratovolcano,0,0,244,"3,850"
Nazko,Confirmed Eruption,5220 BCE,--,,Radiocarbon (uncorrected),Unknown,52.928,-123.732,1238 m,Canada,Pyroclastic cone(s),4,8,674,"25,892"
Taveuni,Confirmed Eruption,5230 BCE,2,,Radiocarbon (corrected),Unknown,-16.82,-179.97,1241 m,Fiji,Shield,692,"3,220","19,186","146,131"
Katla,Confirmed Eruption,5230 BCE,--,,Tephrochronology,Unknown,63.633,-19.083,1490 m,Iceland,Subglacial,0,0,473,"11,326"
Nejapa-Miraflores,Confirmed Eruption,5230 BCE,--,TC tephra,Radiocarbon (uncorrected),Unknown,12.12,-86.32,360 m,Nicaragua,Fissure vent(s),"295,906","870,837","1,610,426","3,062,823"
Redoubt,Confirmed Eruption,5240 BCE,--,,Varve Count,Unknown,60.485,-152.742,3108 m,United States,Stratovolcano,0,0,1,"32,410"
Nemrut Dagi,Confirmed Eruption,5242 BCE,--,,Varve Count,Unknown,38.654,42.229,2948 m,Turkey,Stratovolcano,608,"7,399","230,531","1,618,263"
Meidob Volcanic Field,Confirmed Eruption,5250 BCE,--,Central Meidob volcanic field,Thermoluminescence,Unknown,15.32,26.47,2000 m,Sudan,Pyroclastic cone(s),"5,140","5,140","5,140","24,193"
Crater Lake,Confirmed Eruption,5250 BCE,--,Wizard Island and Merriam Cone,Tephrochronology,Unknown,42.93,-122.12,2487 m,United States,Caldera,52,52,366,"272,674"
Mutnovsky,Confirmed Eruption,5250 BCE,2,,Tephrochronology,Unknown,52.449,158.196,2288 m,Russia,Complex,0,0,97,"250,858"
Krasheninnikov,Confirmed Eruption,5250 BCE,--,Northern outer flank fissure,Radiocarbon (corrected),Unknown,54.596,160.27,1816 m,Russia,Caldera,308,308,814,"4,674"
Socompa,Confirmed Eruption,5250 BCE,--,,Radiocarbon (uncorrected),Unknown,-24.396,-68.246,6031 m,Chile-Argentina,Stratovolcano,5,113,538,"8,620"
Tenerife,Confirmed Eruption,5250 BCE,--,Teide E flank (Montaña de los Corrales),Tephrochronology,Unknown,28.271,-16.641,3715 m,Spain,Stratovolcano,0,156,"337,660","766,276"
Fuss Peak,Confirmed Eruption,5250 BCE,2,HPM8 tephra,Tephrochronology,Unknown,50.267,155.246,1742 m,Russia,Stratovolcano,0,62,354,"1,891"
Newberry,Confirmed Eruption,5260 BCE,0,NW rift zone (Lava Cast Forest),Radiocarbon (corrected),Unknown,43.722,-121.229,2434 m,United States,Shield,0,0,"16,437","180,091"
Tengger Caldera,Confirmed Eruption,5260 BCE,--,Sandsea caldera,Radiocarbon (uncorrected),Unknown,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
Unknown Source,Confirmed Eruption,5278 BCE,--,,,,,,,,,,,,
Llaima,Confirmed Eruption,5290 BCE,--,,Radiocarbon (uncorrected),Unknown,-38.692,-71.729,3125 m,Chile,Stratovolcano,86,811,"18,568","630,458"
